BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,number_of_activities,ratio_parking,ratio_building,ratio_dominant_use,building_age,supericie_by_building,superficie_by_activity
NonResidential,Hotel,7,DOWNTOWN,47.6122,-122.33799,1.0,12,11.390011790064813,0,88434,15.793246355498427,5.521380914662076,1,0.0,1.0,1.0,89,7369.5,88434.0
NonResidential,Hotel,7,DOWNTOWN,47.61317,-122.33393,1.0,11,11.547964369614744,15064,88502,15.942304683370711,5.68988636946409,3,0.1454531409922175,0.8545468590077825,0.8099183129598517,20,8045.636363636364,34522.0
NonResidential,Hotel,7,DOWNTOWN,47.61393,-122.3381,1.0,41,13.770628248175832,196718,759392,18.10029673103805,7.644574787998269,1,0.20574829256047944,0.7942517074395206,0.791219629540534,47,18521.756097560974,956110.0
NonResidential,Hotel,7,DOWNTOWN,47.61412,-122.33664,1.0,10,11.023861332985751,0,61320,15.731636382206883,5.65749417820409,1,0.0,1.0,1.0,90,6132.0,61320.0
NonResidential,Hotel,7,DOWNTOWN,47.61375,-122.34047,1.0,18,12.0758500584802,62000,113580,16.466821504425866,6.2245782310595015,3,0.3531153889964688,0.6468846110035311,0.7030698257204693,36,6310.0,58526.666666666664
Nonresidential COS,Other,7,DOWNTOWN,47.61623,-122.33657,1.0,2,11.485430930660835,37198,60090,16.307609282667034,5.709797680310989,1,0.382349313378834,0.6176506866211661,0.9130622481703807,17,30045.0,97288.0
NonResidential,Hotel,7,DOWNTOWN,47.6139,-122.33283,1.0,11,11.326692267676115,0,83008,15.566238809397522,5.171279133377313,1,0.0,1.0,0.9800501156515035,90,7546.181818181818,83008.0
NonResidential,Other,7,DOWNTOWN,47.61327,-122.33136,1.0,8,11.540161182589472,0,102761,15.655763560069461,5.4004677351929695,1,0.0,1.0,1.0,90,12845.125,102761.0
NonResidential,Hotel,7,DOWNTOWN,47.60294,-122.33263,1.0,15,12.007524141071345,0,163984,16.43464356716476,5.971669919779803,1,0.0,1.0,1.0,112,10932.266666666666,163984.0
NonResidential,Hotel,7,DOWNTOWN,47.60695,-122.33414,1.0,11,11.939257992759025,19279,133884,16.589138989518958,6.538516019278017,1,0.12587243655452035,0.8741275634454797,0.8741275634454797,47,12171.272727272728,153163.0
NonResidential,Hotel,7,DOWNTOWN,47.60713,-122.33323,1.0,25,12.716426157869101,61161,272015,17.10916393077029,6.607960138646554,1,0.18356964487237976,0.8164303551276202,1.0103969073402645,18,10880.6,333176.0
NonResidential,Hotel,7,DOWNTOWN,47.60699,-122.33346,1.0,9,11.08228100083132,0,65009,15.701982680028118,5.793714582156809,1,0.0,1.0,1.0,88,7223.222222222223,65009.0
NonResidential,Hotel,7,DOWNTOWN,47.60809,-122.33212,1.0,33,12.66334558229709,57600,258352,16.921233989185183,6.474847029043816,2,0.18230617308958322,0.8176938269104168,0.9353034638172887,36,7828.848484848485,157976.0
NonResidential,Hotel,7,DOWNTOWN,47.60755,-122.33244,1.0,11,11.43160694379264,25200,66990,16.19041724277007,6.2371325085008635,2,0.2733485193621868,0.7266514806378133,0.7309903460245146,94,6090.0,46095.0
Nonresidential COS,Other,7,DOWNTOWN,47.60649,-122.33297,1.0,11,12.928778628331663,57000,355000,16.738073034525183,5.200594278019421,3,0.1383495145631068,0.8616504854368932,0.8857111650485436,12,32272.727272727272,137333.33333333334
NonResidential,Other,7,DOWNTOWN,47.60546,-122.33279,1.0,6,11.551290042513212,0,103911,16.11372571668866,6.072721901414916,3,0.0,1.0,0.8661258192106707,86,17318.5,34637.0
NonResidential,Hotel,7,DOWNTOWN,47.60681,-122.33078,1.0,28,12.939115791978178,85000,331281,17.328748772197457,6.688217718261911,2,0.20418899733593415,0.7958110026640659,0.8367641088591601,33,11831.464285714286,208140.5
NonResidential,Mixed Use Property,7,DOWNTOWN,47.60515,-122.33159,1.0,5,10.958705095551714,0,57452,15.844459077058906,5.609545052574831,5,0.0,1.0,0.28618672979182624,109,11490.4,11490.4
NonResidential,Hotel,7,DOWNTOWN,47.60376,-122.33194,1.0,10,11.555525078589046,0,104352,16.133438150577508,5.855988407545532,1,0.0,1.0,1.0,100,10435.2,104352.0
NonResidential,Other,7,DOWNTOWN,47.60265,-122.33051,1.0,10,13.199990863083618,0,540360,17.62182783259915,7.143056623899939,1,0.0,1.0,0.9940595158783033,100,54036.0,540360.0
NonResidential,Other,3,DOWNTOWN,47.60378,-122.32842,1.0,19,12.861710048451576,0,385274,17.683786712313093,7.438059948285612,1,0.0,1.0,1.0,31,20277.57894736842,385274.0
SPS-District K-12,K-12 School,2,SOUTHEAST,47.54576,-122.26853,1.0,2,10.937170132451657,0,56228,14.246954280675935,3.6514371586380663,1,0.0,1.0,1.047805363875649,55,28114.0,56228.0
NonResidential,Hotel,4,NORTHEAST,47.65959,-122.31755,1.0,6,11.391796839062748,30586,58006,15.11393894976178,4.499920775268994,2,0.34524562037204265,0.6547543796279574,0.6547543796279574,15,9667.666666666666,44296.0
